Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
0.0,4.0,0.0,0.0,1.0,"['snapshotName', 'snapshot', 'snapshotType', 'snapshotName2', 'tableName']","['graph', 'add', 'computeDependencies', 'Arrays', 'assertEquals']","['increment', 'gauge', 'sleep', 'testSingleMetric', 'TimeUnit']","['wait', 'condition', 'title', 'footer', 'document']","['overlayConfig', 'startMessaging', 'startServer', 'inputProducer', 'send']"
4.0,0.0,0.0,0.0,4.0,"['EntityHelper', 'initEntityNameMap', 'getEntityTable', 'assertNotNull', 'assertEquals', 'isId']","['System.currentTimeMillis', 'readTest', 'analyzeResult', 'TEST_TYPE_READ', 'execTime']","['CompletableFuture', 'await', 'untilAtomic', 'Matchers', 'ClosedStreamException']","['mock', 'when', 'thenReturn', 'generateResponse', 'validateException']","['bindObject', 'listBindings', 'assertContains', 'assertEquals', 'assertNotNull', 'assertClass']"
4.0,4.0,0.0,0.0,6.0,"['InetSocketAddress', 'LocalHost', '127.0.0.1', '123', 'toString']","['Header', 'response', 'client', 'get', '404']","['Async', 'wait', 'Continuation', 'bindList', 'checkList']","['final', 'bind', 'lookup', 'assertEquals', 'permission']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,6.0,0.0,0.0,0.0,"['System.currentTimeMillis', 'writeTest', 'analyzeResult', 'TEST_TYPE_WRITE', 'execTime']","['final', 'Thread', 'sleep', 'cache', 'size']","['XmlValidator', 'validate', 'setHelper', 'IFile', 'IMarker']","['Thread', 'sleep', '100', 'waitForLayout', 'notifyDataSetChanged']","['Set', 'LinkedHashSet', 'JSON', 'SerializerFeature', 'Assert']"
0.0,4.0,0.0,0.0,0.0,"['CREATE', 'RESOURCE', 'GROUP', 'disable', 'MYSQL']","['SqlHelper', 'wherePKColumns', 'whereAllIfColumns', 'whereLogicDelete', 'updateSetColumns']","['CREATE', 'RESOURCE', 'GROUP', 'sql_thread', 'MYSQL']","['CREATE', 'EXTERNAL', 'CATALOG', 'IF', 'NOT']","['map', 'Multimaps', 'invertFrom', 'SetMultimap', 'assertTrue']"
0.0,0.0,3.0,0.0,0.0,"['ALTER', 'RESOURCE', 'GROUP', 'sql_thread', 'VCP']","['create', 'database', 'test_cascade', 'ALIYUN$test@aliyun.com', 'options']","['HashMultimap', 'JSON', 'create', 'put', 'assertTrue']","['String', 'List', 'parseStatementList', 'generateAllPossibleRes', 'assertTrue']","['JSONObject', 'parseObject', 'TypeReference', 'LinkedHashMap', 'JSONPath']"
0.0,0.0,0.0,0.0,0.0,"['JSON', 'SerializerFeature', 'SortField', 'MapSortField', 'Assert']","['ALTER', 'RESOURCE', 'GROUP', 'sql_thread', 'MYSQL']","['DataSimpleVO', 'JSON', 'SerializerFeature', 'MapSortField', 'assertNotNull']","['CREATE', 'RESOURCE', 'GROUP', 'sql_thread', 'accept']","['map', 'JSON', 'parse', 'put', 'get']"
4.0,0.0,0.0,0.0,0.0,"['ArrayListMultimap', 'TreeMultimap', 'Ints', 'JSON', 'SerializerFeature']","['DataSimpleVO', 'JSON', 'SerializerFeature', 'MapSortField', 'assertEquals']","['DubboResponse', 'JSONObject', 'JSON', 'SerializerFeature', 'MapSortField']","['CREATE', 'EXTERNAL', 'CATALOG', 'PROPERTIES', 'oss']","['ParserConfig', 'JSON', 'Map.Entry', 'assertTrue', 'assertEquals']"
4.0,4.0,4.0,4.0,6.0,"['JSON', 'MapSortField', 'latitude', 'longitude', 'id']","['JSONObject', 'SerializeConfig', 'register', 'SerializerFeature', 'SortField']","['demoBean', 'JSON', 'SerializerFeature', 'MapSortField', 'serializeConfig']","['JSONObject', 'JSON', 'toJavaObject', 'toJSONString', 'SerializerFeature']",[]
0.0,6.0,4.0,4.0,0.0,"['JSONObject', 'Character', 'Number', 'ByteArrayOutputStream', 'ObjectOutputStream']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Date', 'format', 'parse', 'assert', 'null']","['JSON', 'parseObject', 'toJSONString', 'assertEquals', 'SerializerFeature']","['Multimap', 'JSON', 'SerializerFeature', 'ArrayListMultimap', 'parseObject']"
4.0,0.0,0.0,4.0,0.0,"['JSONPath', 'reserveToArray', 'assertEquals', 'assertTrue', 'toString']","['multimap', 'create', 'put', 'assertEquals', 'SerializerFeature.MapSortField']","['JSON', 'Serializer', 'config', 'write', 'Assert']","['JSONObject', 'JSONPath', 'parseObject', 'set', 'toJSONString']","['JSON', 'parseObject', 'assertEquals', 'MapSortField', 'VO']"
4.0,0.0,0.0,0.0,0.0,"['cart', 'JSONObject', 'LinkedHashMap', 'SerializerFeature', 'assertTrue']","['JSON', 'TimeZone', 'Date', 'parse', 'Assert']","['jsonp', 'post', 'UTF-8', 'contentType', 'status']","['VO2', 'JSON', 'SerializerFeature', 'MapSortField', 'assertEquals']","['HashSet', 'JSON', 'TypeReference', 'parseObject', 'assertEquals']"
4.0,6.0,0.0,0.0,6.0,"['request', 'operation', 'infoField1', 'infoField2', 'expected']","['JSONObject', 'mockMvc', 'post', 'print', 'assertTrue']","['Model', 'JSON', 'parseObject', 'toJSONString', 'assertEquals']","['Abstract', 'Class', 'JSON', 'Assert', 'Serializer']",[]
6.0,6.0,0.0,2.0,0.0,"['final', 'WithArrays', 'intArray', 'new', 'int']","['final', 'WithArrays', 'wa', 'exp', 'assertEquals']","['final', 'WithArrays', 'wa', 'charArray', 'exp']","['JSON', 'TimeZone', 'Date', 'parseArray', 'Assert']","['callback', 'JSONPObject', 'JSON', 'parseObject', 'assertEquals']"
6.0,0.0,4.0,0.0,0.0,"['longArray', 'toString', 'assertEquals', 'new', 'long']","['final', 'WithArrays', 'wa', 'doubleArray', 'assertEquals']","['exp', 'assertEquals', 'getClassPrefix', 'BR', 'toString']","['JSON', 'TimeZone', 'Assert', 'castToTimestamp', 'Timestamp']","['JSONPObject', 'JSON', 'parseObject', 'assertEquals', 'toJSONString']"
6.0,4.0,4.0,6.0,4.0,[],"['customer', 'bank', 'exp', 'toString', 'getClassPrefix']","['Person', 'age', 'job', 'title', 'toString']","['JSONObject', 'mockMvc', 'post', 'print', 'assertTrue']","['JSON', 'parse', 'reserve', 'SerializerFeature', 'MapSortField']"
0.0,4.0,4.0,0.0,6.0,"['ReflectionToStringBuilder', 'toString', 'statics', 'instance', 'static']","['test', 'SelfInstanceTwoVarsReflectionTestFixture', 'toString', 'getOtherType', 'toBaseString']","['instance1', 'assertEquals', 'ReflectionToStringBuilder', 'class', 'static']","['jsonp', 'post', 'UTF-8', 'contentType', 'status']","['JSONObject', 'mockMvc', 'post', 'print', 'assertTrue']"
0.0,6.0,0.0,4.0,0.0,"['get', 'getAll', 'meta', 'Annotation', 'class']","['assertEquals', 'ReflectionToStringBuilder', 'staticInt', 'staticString', 'SimpleReflectionStaticFieldsFixture']","['try', 'catch', 'IllegalStateException', 'fail', 'resetExtensionLoader']","['LinkedHashMap', 'HashMap', 'SerializerFeature', 'WriteClassName', 'Assert']","['jsonp', 'post', 'UTF-8', 'contentType', 'status']"
6.0,0.0,0.0,4.0,0.0,"['Thread', 'sleep', '1000', 'destroy', 'isAvailable']","['ExtensionLoader', 'getAdaptiveExtension', 'addExtension', 'resetExtensionLoader', 'assertTrue']","['try', 'catch', 'IllegalStateException', 'fail', 'instanceOf']","['Map', 'LinkedHashMap', 'initParams', 'toQueryUrl', 'assertEquals']","['Map', 'Iterator', 'LinkedHashMap', 'put', 'next']"
0.0,0.0,0.0,0.0,4.0,"['service', 'proxy', 'protocol', 'URL', 'assertEquals']","['RpcContext', 'AsyncContext', 'isAsyncStarted', 'startAsync', 'stopAsync']","['ExtensionLoader', 'getAdaptiveExtension', 'replaceExtension', 'assertFalse', 'assertTrue']","['Async', 'await', 'Thread', 'sleep', 'wait']","['hashCode', 'reflection', 'TestObjectWithMultipleFields', 'assertEquals', 'new']"
6.0,0.0,0.0,0.0,0.0,"['RPCTask', 'createRPCStatus', 'createStatus', 'getTasks', 'shutdown', 'purgeAllTasks']","['ExitUtil', 'resetFirstExitException', 'terminateCalled', 'status', 'notifyIsLastAMRetry']","['Async', 'wait', 'Thread', 'sleep', 'count']","['mock', 'throw', 'invoke', 'exception', 'status']","['ExtensionLoader', 'resetExtensionLoader', 'getExtension', 'getExtensionName', 'instanceOf']"
4.0,0.0,0.0,0.0,6.0,"['field', 'schema', 'type', 'assert', 'NotNull']","['ClassFinder', 'findClasses', 'Set', 'Class', 'pkgClasses']","['RpcContext', 'map', 'set', 'get', 'remove']","['statusUpdateTimes', 'JobConf', 'Task', 'Thread', 'join']",[]
4.0,0.0,0.0,4.0,0.0,"['assertThat', 'startsWith', 'CuratorFramework', 'getChildren', 'remove']","['expected', 'mockReceiverClientFailOnStopAndSync', 'doReassign', 'ClusterStateException', 'assertSame']","['expected', 'mock', 'throw', 'ClusterStateException', 'assertSame']","['obj', 'stream', 'flush', 'startsWith', 'contains']","['getMetaAnnotations', 'isSameType', 'Inherited', 'Deprecated', 'Service']"
0.0,4.0,4.0,0.0,6.0,"['JSONObject', 'JSONUtil', 'set', 'toXmlStr', 'assertThat']","['JSON', 'Schema', 'builder', 'builder', 'assertJSONEqual']","['ObjectMapper', 'configure', 'MapperFeature', 'JsonFormat', 'Shape']","['Collection', 'LongTokenRange', 'CountDownLatch', 'Notification', 'RepairTask']","['Invoker', 'MockInvocation', 'LogUtil', 'start', 'stop']"
0.0,0.0,5.0,4.0,4.0,"['Collection', 'LongTokenRange', 'CountDownLatch', 'Notification', 'RepairTask']","['Async', 'wait', 'Thread', 'sleep', 'synchronized']","['serialization', 'property', 'test', 'sub-classes', 'JSON']","['APIContext', 'UserData', 'HashMap', 'ArrayList', 'Gson']","['Path', 'createFile', 'rename', 'delete', 'assert']"
4.0,4.0,4.0,4.0,4.0,"['Arrays', 'asList', 'List', 'assertEquals', 'Collections']","['File', 'EasyMock', 'expect', 'replay', 'init']","['currentUser', 'null', 'loadAll', 'summarizeUsers', 'ImmutableList']","['SerializationFeature', 'MapperFeature', 'USE_EQUALITY_FOR_OBJECT_ID', 'writeValueAsString', 'readValue']","['ArrayList', 'clone', 'add', 'set', 'get']"
6.0,3.0,4.0,0.0,4.0,"['mapper', 'writeValueAsString', 'readValue', 'TypeReference', 'Twin']","['append', 'HashSet', 'List', 'StrJoiner', 'toString']","['when', 'thenReturn', 'mock', 'ImmutableList', 'containsExactlyInAnyOrder']","['Map', 'ImmutableSet', 'ImmutableMap', 'Collections', 'emptyMap']","['avroSchema', 'schemaJson', 'parser', 'schema', 'field']"
0.0,4.0,0.0,0.0,0.0,"['failing', 'searchType', 'partialResults', 'expectedType', 'keyword']","['jsonSchema', 'root', 'propertiesSchema', 'ageType', 'firstType']","['LookupCacheKey', 'createFromJSON', 'JsonNode', 'isObject', 'isTextual']","['Map', 'ImmutableSet', 'Collections', 'singletonMap', 'assertThat']","['AvroSchema', 'JSONException', 'SchemaType', 'assertJSONEquals', 'Schema']"
0.0,0.0,3.0,0.0,4.0,"['assertJsonEqualsNonStrict', 'objectMapper', 'ValueReference', 'integer', 'writeValueAsString']","['assertJsonEqualsNonStrict', 'objectMapper', 'writeValueAsString', 'ValueReference', 'TestEnum']","['HashMap', 'put', 'format', 'true', 'equals']","['assertJsonEqualsNonStrict', 'createParameter', 'writeValueAsString', 'ValueReference', 'parameter']","['List', 'contains', 'Assert', 'assertTrue', 'TestEnum']"
0.0,0.0,0.0,6.0,4.0,"['serialize', 'prefix', 'cacheKey', 'node', 'convertValue']","['Resources', 'put', 'save', 'ByteArrayOutputStream', 'assertTrue']","['QueryResponse', 'setMetric', 'putTag', 'putDps', 'writeValueAsString']","['token1', 'token2', 'token3', 'token4', 'token5']","['Node', 'vnodes', 'repairTaskRanges', 'repairGroup', 'tasks']"
0.0,3.0,0.0,0.0,4.0,"['foo', 'bar', 'baz', 'qux', 'additionalProperties']","['HashMap', 'format', 'params', 'true', 'Assert']","['@SuppressWarnings', 'List', 'Assertions', 'sort', 'size']","['Field', 'Arrays', 'Comparator', 'assertTrue', 'assertFalse']","['HashMap', 'List', 'Assert', 'System', 'currentTimeMillis']"
0.0,0.0,6.0,0.0,0.0,"['async', 'await', 'Thread', 'sleep', '1000']","['null', 'put', 'get', 'asObject', 'assertParam']",[],"['add', 'remove', 'build', 'equals', 'builder']","['List', 'Class', 'invoke', 'randomSample', 'writeValueAsString']"
4.0,0.0,0.0,4.0,0.0,"['List', 'Assert', 'ArrayList', 'results', 'response']","['async', 'await', 'Thread', 'sleep', 'wait']","['map', 'LinkedHashMap', 'put', 'joinJSON', 'Arrays']","['AddColumnStatement', 'validate', 'generateSql', 'ALTER', 'ADD']","['final', 'createTestContentPack', 'assertJSONEqual', 'objectMapper', 'ContentPack']"
6.0,0.0,6.0,0.0,0.0,[],"['AuthCache', 'cookie', 'getAuthorizations', 'iterator', 'split']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Async', 'wait', 'Thread', 'sleep', '1000']","['assertJsonEqualsNonStrict', 'objectMapper', 'ValueReference', 'boolean', 'true']"
4.0,0.0,0.0,0.0,0.0,"['Issue1393', 'Json', 'toJson', 'assertJsonEqualsNonStrict', 'obj']","['NumBean', 'Json', 'toJson', 'assertJsonEqualsNonStrict', 'num1']","['assertThat', 'isSuccessful', 'EnumWithConstraint', 'values', 'clear']","['async', 'await', 'Thread', 'sleep', '1000']","['assertJsonEqualsNonStrict', 'objectMapper', 'ValueReference', 'float', '1.0']"
0.0,4.0,0.0,0.0,0.0,"['Async', 'wait', 'Thread', 'sleep', '1000']","['OpenAPI', 'AbstractJavaCodegen', 'additionalProperties', 'processOpts', 'preprocessOpenAPI']","['assert', 'throws', 'wait', 'notify', 'Thread']","['empty', 'obj', 'toJson', 'Json', 'compact']","['assertJsonEqualsNonStrict', 'objectMapper', 'writeValueAsString', 'ValueReference', 'of']"
0.0,0.0,0.0,4.0,4.0,"['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'EnumSet']","['Async', 'wait', 'Thread', 'sleep', '1000']","['assert', 'wait', 'notify', 'Thread', 'sleep']","['OpenAPI', 'AbstractJavaCodegen', 'put', 'processOpts', 'getAdditionalModelTypeAnnotations']","['count', 'filter', 'assert', 'order', 'migration']"
0.0,6.0,0.0,0.0,0.0,"['assert', 'HashSet', 'valueOf', 'iterations', 'Target']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['test', 'boolean', 'enum', 'iterations', 'clear']","['model', 'buildDummyModel', 'toString', 'anyOf', 'is']","['Async', 'wait', 'Thread', 'sleep', '1000']"
6.0,0.0,6.0,6.0,0.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assert', 'HashSet', 'subList', 'iterations', 'defaultPropertyTrialCount']","['token1', 'token2', 'token3', 'token4', 'token5']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assert', 'wait', 'notify', 'Thread', 'timeout']"
0.0,0.0,4.0,6.0,6.0,"['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['WrapperShorts', 'testCases', 'iterations', 'isSuccessful', 'assertEquals']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']"
6.0,6.0,6.0,6.0,6.0,"['WrapperChars', 'iterations', 'values', '0', '2']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'subList', 'iterations']"
4.0,6.0,0.0,0.0,0.0,"['test', 'class', 'order', 'check', 'functionality']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['iterations', 'defaultPropertyTrialCount', 'isSuccessful', 'ForDefaultNumberOfValues', 'testResult']","['assert', 'wait', 'Thread', 'sleep', 'timeout']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'HashSet', 'subList']"
4.0,0.0,0.0,0.0,6.0,"['iterations', 'testCases', 'HashSet', 'clear', 'isSuccessful']","['assertThat', 'isSuccessful', 'iterations', 'testCases', 'PrimitiveChars']","['assertThat', 'isSuccessful', 'iterations', 'ForSpecifiedNumberOfValues', 'testResult']","['assert', 'wait', 'notify', 'Thread', 'sleep']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']"
6.0,0.0,4.0,0.0,6.0,"['assertThat', 'isSuccessful', 'WrapperBytes', 'iterations', 'testCases']","['assert', 'wait', 'Thread', 'sleep', 'notify']","['iterations', 'iterations', 'foos', 'size', 'get']","['assert', 'HashSet', 'subList', 'iterations', 'PrimitiveIntegers']","['testResult', 'iterations', 'testCases', 'assertEquals', 'new']"
5.0,6.0,6.0,0.0,6.0,"['assertThat', 'isSuccessful', 'WrapperIntegers', 'iterations', 'testCases']","['iterations', 'testResult', 'HashSet', 'asList', 'PrimitiveLongs']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'values']","['assert', 'wait', 'timeout', 'Thread', 'notify']","['assert', 'wait', 'notify', 'Thread', 'sleep']"
4.0,4.0,0.0,6.0,0.0,"['findMethod', 'getParameters', 'allAnnotations', 'annotationType', 'assertEquals']","['assertThat', 'isSuccessful', 'iterations', 'testCases', 'WrapperFloats']","['assert', 'wait', 'notify', 'Thread', 'sleep']",[],"['assertThat', 'isSuccessful', 'iterations', 'testCases', 'Enums']"
3.0,6.0,0.0,4.0,0.0,"['assert', 'iterations', 'defaultPropertyTrialCount', 'isSuccessful', 'UnboxingAFoo']","['assertThat', 'isSuccessful', 'iterations', 'testCases', 'WrapperLongs']","['assert', 'wait', 'Thread', 'sleep', 'timeout']","['assert', 'isSuccessful', 'iterations', 'values', 'subList']","['assert', 'await', 'async', 'Thread', 'sleep']"
6.0,6.0,0.0,4.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['assert', 'wait', 'notify', 'Thread', 'sleep']","['assertThat', 'isSuccessful', 'EnumSet', 'allOf', 'size']",[]
0.0,0.0,0.0,6.0,0.0,"['assert', 'HashSet', 'subList', 'iterations', 'defaultPropertyTrialCount']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', '0']","['assert', 'wait', 'timeout', 'Thread', 'notify']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assert', 'wait', 'notify', 'Thread', 'timeout']"
0.0,6.0,6.0,6.0,0.0,"['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'EnumSet']"
6.0,6.0,6.0,0.0,0.0,"['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assert', 'wait', 'notify', 'Thread', 'sleep']","['assert', 'HashSet', 'valueOf', 'iterations', 'Target']"
0.0,6.0,6.0,0.0,0.0,"['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assert', 'isSuccessful', 'testResult', 'class', 'iterations']","['assert', 'HashSet', 'subList', 'iterations', 'PrimitiveIntegers']"
6.0,0.0,6.0,2.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assert', 'wait', 'notify', 'Thread', 'sleep']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['iterations', 'singleton', 'false', 'WrapperBooleans', 'testCases']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']"
6.0,6.0,4.0,6.0,4.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'WrapperBytes']","['HashSet', 'WrapperChars', 'iterations', 'testCases', 'clear']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'PrimitiveBytes']"
0.0,0.0,6.0,6.0,4.0,"['await', 'async', 'Thread', 'sleep', 'synchronized']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'HashSet', 'subList']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['iterations', 'assertEquals', 'PrimitiveChars', 'isSuccessful', 'assertThat']"
4.0,6.0,6.0,6.0,6.0,"['iterations', 'defaultPropertyTrialCount', 'reset', 'assert', 'isSuccessful']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,4.0,4.0,6.0,6.0,"['await', 'async', 'Thread', 'sleep', 'synchronized']","['assert', 'isSuccessful', 'iterations', 'values', 'subList']","['assertThat', 'failureCountIs', 'attempts', 'clear', 'size']",[],[]
6.0,6.0,6.0,3.0,0.0,"['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['HashSet', 'subList', 'clear', 'iterations', 'values']","['assertThat', 'isSuccessful', 'resourceAsString', 'toString', 'replaceAll']"
4.0,6.0,4.0,6.0,0.0,"['assertThat', 'isSuccessful', 'class', 'clearLogs', 'expectedStatements']","['token1', 'token2', 'token3', 'token4', 'token5']","['Node', 'addkid', 'DominatorTree', 'getHeads', 'containsInAnyOrder']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'subList']","['await', 'until', 'get', 'size', 'equalTo']"
4.0,0.0,0.0,4.0,3.0,"['assertThat', 'failureCountIs', 'clearLogs', 'LOGS', 'expectedStatements']","['assert', 'await', 'async', 'Thread', 'sleep']","['List', 'HashMap', 'BigDecimal', 'write', 'read']","['Enums', 'testResult', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations']","['BigDecimal', 'List', 'Map', 'write', 'read']"
4.0,0.0,0.0,4.0,3.0,"['assertThat', 'isSuccessful', 'resourceAsString', 'toString', 'replaceAll']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', '0']","['QueryService', 'List', 'Arrays', 'sort', 'getIndex']","['iterations', 'defaultPropertyTrialCount', 'PrimitiveShorts', 'isSuccessful', 'assertThat']",[]
0.0,0.0,0.0,6.0,6.0,"['Node', 'Graph', 'MHGDominatorsFinder', 'MHGDominatorTree', 'MHGPostDominatorsFinder']","['assertThat', 'isSuccessful', 'defaultPropertyTrialCount', 'iterations', 'WrapperFloats']","['File', 'handleFileLocation', 'snapshotService', 'cacheSnapshotZip', 'cacheSnapshotZipDirectory']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
6.0,4.0,0.0,6.0,4.0,"['token1', 'token2', 'token3', 'token4', 'token5']","['List', 'Map', 'BigDecimal', 'add', 'put']","['graph', 'HashSet', 'Set', 'Arrays', 'assertEquals']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['dpc', 'dm', 'edp', 'mwrp', 'tmrp']"
4.0,6.0,4.0,0.0,6.0,"['executePostRequest', 'StatusCodes', 'readResponse', 'param1', 'response']",[],"['mock', 'order', 'process', 'recent', 'revision']","['reset', 'connectToServer', 'close', 'CloseReason', 'VIOLATED_POLICY']","['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']"
0.0,,,,,"['Path', 'MockDirectoryManager', 'DumpProcessingController', 'StatisticsMwRevisionProcessor', 'processMostRecentMainDump']",,,,
